"year","hour","solar","solardiff","temp","rh","windspeed","precip","doy"
2006,1,0,0,14.5608158111572,0.629905521869659,2.60348510742188,0,303
2006,2,0,0,14.5608158111572,0.629905521869659,2.60348510742188,0,303
2006,3,0,0,11.345911026001,0.882133185863495,5.85499334335327,0,303
2006,4,0,0,11.345911026001,0.882133185863495,5.85499334335327,0,303
2006,5,0,0,11.345911026001,0.882133185863495,5.85499334335327,0,303
2006,6,0,0,11.973352432251,0.869797229766846,6.76722717285156,0,303
2006,7,0,0,11.973352432251,0.869797229766846,6.76722717285156,0,303
2006,8,0,0,11.973352432251,0.869797229766846,6.76722717285156,0,303
2006,9,0,0,11.7307987213135,0.850150763988495,6.81568145751953,0,303
2006,10,0,0,11.7307987213135,0.850150763988495,6.81568145751953,0,303
2006,11,0,0,11.7307987213135,0.850150763988495,6.81568145751953,0,303
2006,12,1.79207617634347e-08,5.11161279678345,11.1222171783447,0.842917859554291,7.25639915466309,0,303
2006,13,1.79207617634347e-08,5.11161279678345,11.1222171783447,0.842917859554291,7.25639915466309,0,303
2006,14,1.79207617634347e-08,5.11161279678345,11.1222171783447,0.842917859554291,7.25639915466309,0,303
2006,15,707.35791015625,246.721755981445,12.0263614654541,0.850154101848602,9.48342800140381,0,303
2006,16,707.35791015625,246.721755981445,12.0263614654541,0.850154101848602,9.48342800140381,0,303
2006,17,707.35791015625,246.721755981445,12.0263614654541,0.850154101848602,9.48342800140381,0,303
2006,18,1020.76300048828,272.697082519531,17.0084476470947,0.637847602367401,12.6910314559937,0,303
2006,19,1020.76300048828,272.697082519531,17.0084476470947,0.637847602367401,12.6910314559937,0,303
2006,20,1020.76300048828,272.697082519531,17.0084476470947,0.637847602367401,12.6910314559937,0,303
2006,21,256.406402587891,232.695541381836,20.4883975982666,0.48822894692421,13.7034282684326,0,303
2006,22,256.406402587891,232.695541381836,20.4883975982666,0.48822894692421,13.7034282684326,0,303
2006,23,256.406402587891,232.695541381836,20.4883975982666,0.48822894692421,13.7034282684326,0,303
2006,0,0,0,19.4911136627197,0.512791275978088,11.7412271499634,0,304
2006,1,0,0,19.4911136627197,0.512791275978088,11.7412271499634,0,304
2006,2,0,0,19.4911136627197,0.512791275978088,11.7412271499634,0,304
2006,3,0,0,17.370813369751,0.590685069561005,11.9469451904297,0,304
2006,4,0,0,17.370813369751,0.590685069561005,11.9469451904297,0,304
2006,5,0,0,17.370813369751,0.590685069561005,11.9469451904297,0,304
2006,6,0,0,16.6761722564697,0.613926887512207,10.9633798599243,0,304
2006,7,0,0,16.6761722564697,0.613926887512207,10.9633798599243,0,304
2006,8,0,0,16.6761722564697,0.613926887512207,10.9633798599243,0,304
2006,9,0,0,16.3437747955322,0.681400299072266,10.6753005981445,0,304
2006,10,0,0,16.3437747955322,0.681400299072266,10.6753005981445,0,304
2006,11,0,0,16.3437747955322,0.681400299072266,10.6753005981445,0,304
